epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,118.803,1.5864,4.92989,1.8815,0.61539,0.08113,0.02933,0.01336,1.99814,4.44773,2.4657,0.00996169,0.00332056,0.00996169,0.00332056,0.00996169,0.00332056,0.00996169,0.00332056
2,222.001,1.70928,3.99392,1.99099,0.50626,0.1393,0.1067,0.04757,2.13097,3.73021,2.61883,0.0198629,0.00662096,0.0198629,0.00662096,0.0198629,0.00662096,0.0198629,0.00662096
3,328.187,1.76024,3.58356,2.03784,0.36331,0.02335,0.01077,0.00434,2.67553,inf,3.06685,0.0296651,0.00988836,0.0296651,0.00988836,0.0296651,0.00988836,0.0296651,0.00988836
4,427.719,1.75251,3.49992,2.0248,0.39321,0.1284,0.09932,0.04959,2.22875,5.23993,2.59259,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,526.388,1.70274,3.20013,1.98106,0.39286,0.22958,0.19752,0.0953,2.0032,3.25879,2.45673,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,624.969,1.66302,2.95888,1.93486,0.35053,0.23721,0.19372,0.09392,1.96929,2.9473,2.3541,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
